iata|icao|iso_country|name
ZI|AAF|FR|Aigle Azur - Société Aigle Azur Transports Aériens
KH|AAH|US|Aloha Air Cargo
AA|AAL|US|American Airlines
OZ|AAR|KR|Asiana Airlines
8U|AAW|LY|Afriqiyah Airways
G4|AAY|US|Allegiant Air
CC|ABD|IS|Air Atlanta Icelandic
4R|ABG|RU|Royal Flight
BX|ABL|KR|Air Busan
PA|ABQ|PK|AirBlue
AG|ABR|NT|ASL Airlines Ireland
O4|ABV|NT|Antrak Air
RU|ABW|RU|AirBridgeCargo Airlines
GB|ABX|US|ABX Air
G9|ABY|AE|Air Arabia
AC|ACA|CA|Air Canada
P4|ACE|GH|Air Charter Africa
SB|ACI|NC|Aircalin
8V|ACP|KE|Astral Aviation
6U|ACX|NT|Air Cargo Germany
|ADB|NT|Antonov Design Bureau
AP|ADH|NT|Air One - Air One S.p.A
HD|ADO|JP|Air Do
JP|ADR|SI|Adria Airways
UX|AEA|ES|Air Europa
A3|AEE|GR|Aegean Airlines
A4|AEK|NT|Aerocon
KO|AER|NT|Alaska Central Express
VV|AEW|NT|Aerosvit Airlines - Aerosvit-Ukrainian Airlines
I9|AEY|NT|Air Italy
FG|AFG|AF|Ariana Afghan Airlines
SU|AFL|RU|Aeroflot - Aeroflot - Russian Airlines
AF|AFR|FR|Air France
X7|AGB|NT|Air Service Gabon
2G|AGU|RU|Angara Airlines
LD|AHK|HK|Air Hong Kong
J2|AHY|AZ|Azerbaijan Airlines - AZAL Azerbaijan Airlines
U3|AIA|EE|Avies - Avies Air Company
AI|AIC|IN|Air India
3H|AIE|CA|Air Inuit
4O|AIJ|MX|Interjet
5A|AIP|NT|Alpine Air Express
FD|AIQ|TH|Thai AirAsia
XG|AIS|NT|Clickair
IZ|AIZ|IL|Arkia Israeli Airlines
|AJA|AF|AnadoluJet
HN|AJI|US|Afghan Jet International
M6|AJT|US|Amerijet International
NQ|AJX|JP|Air Japan
UL|ALK|LK|SriLankan Airlines
VH|ALV|VE|Aeropostal - Aeropostal - Alas de Venezuela
EO|ALX|IT|Hewa Bora Airways - HBA - Hewa Bora Airways
KM|AMC|MT|Air Malta
A8|AMF|US|Ameriflight
NX|AMU|MO|Air Macau
AM|AMX|MX|Aeromexico
6T|AMY|MM|Air Mandalay
NH|ANA|JP|All Nippon Airways
YW|ANE|NT|Air Nostrum
PX|ANG|PG|Air Niugini
TL|ANO|AU|Airnorth - Airnorth Regional
YE|ANR|UA|YanAir
4N|ANT|CA|Air North - Air North Charter and Training Ltd
NZ|ANZ|NZ|Air New Zealand
PQ|APG|PH|Philippines AirAsia
MM|APJ|JP|Peach Aviation
W3|ARA|NG|Arik Air
4C|ARE|CO|LAN Colombia
AR|ARG|AR|Aerolineas Argentinas
QN|ARR|NT|Air Armenia
6Y|ART|LV|SmartLynx - SmartLynx Airlines
AS|ASA|US|Alaska Airlines
4D|ASD|EG|Air Sinai
YV|ASH|US|Mesa Airlines
JU|ASL|RS|AirSERBIA
EV|ASQ|US|ExpressJet - ExpressJet Airlines
TC|ATC|TZ|Air Tanzania
OS|AUA|AT|Austrian Airlines
PS|AUI|UA|Ukraine Int. Airlines
H8|AUK|NT|Auric Air
5N|AUL|RU|Nordavia
GR|AUR|GG|Aurigny Air Services
AU|AUT|NT|Austral
AV|AVA|CO|Avianca
A0|AVI|NT|L'Avion
YK|AVJ|KG|Avia Traffic
NF|AVN|VU|Air Vanuatu
ZT|AWC|NT|Titan Airways
US|AWE|NT|US Airways
ZW|AWI|NT|Air Wisconsin - Air Wisconsin Airlines Corporation
YJ|AWM|MM|Asian Wings Airways
A7|AWN|NT|Air Niamey
QZ|AWQ|ID|Indonesia AirAsia
IX|AXB|IN|Air India Express
ED|AXE|NT|AirExplore
XU|AXK|KE|African Express Airways
AK|AXM|MY|AirAsia
YH|AYG|NT|Yangon Airways
7B|AYZ|NT|Atlant-Soyuz Airlines
AZ|AZA|IT|Alitalia
ZE|AZE|DE|Arcus-Air
A2|AZI|GR|Astra Airlines
Z8|AZN|BO|Amaszonas
ZP|AZQ|AZ|Silk Way Airlines
ZR|AZS|NT|Aviacon Zitotrans
AD|AZU|BR|Azul Brazilian Airlines - Azul Linhas AEreas Brasileiras
UM|AZW|ZW|Air Zimbabwe
AJ|AZY|NT|Aztec Airways
L9|BAL|NT|Belle Air Europe
BA|BAW|GB|British Airways - British Airways Plc
BG|BBC|BD|Biman Bangladesh Airlines
BF|BBD|IS|Bluebird Cargo
S3|BBR|VE|SBA Airlines
ZU|BBT|RU|Air Bashkortostan
8B|BCC|TH|Business Air
SI|BCI|GG|Blue Islands
QY|BCS|NT|EAT Leipzig
WX|BCY|IE|Cityjet
BZ|BDA|IN|Blue Dart Aviation
J4|BDR|SD|Badr Airlines
BE|BEE|GB|Flybe
Z9|BEK|KZ|Bek Air
SN|BEL|BE|Brussels Airlines
AB|BER|DE|Air Berlin
8H|BGH|NT|BH Air - BH Air - Balkan Holidays Air
2B|BGM|NT|Ak Bars Aero
U4|BHA|NP|Buddha Air
4T|BHP|CH|Belair Airlines
UP|BHS|BS|Bahamasair
ML|BIE|FR|Air Mediterranee
PG|BKP|TH|Bangkok Airways
4Y|BLE|NT|Blue Line
KF|BLF|NT|Blue1
JV|BLS|CA|Bearskin Airlines
B3|BLV|NT|Bellview Airlines
6B|BLX|SE|TUIfly Nordic
BD|BMA|NT|BMI - British Midland International
CH|BMJ|US|Bemidji Aviation Services
8A|BMM|NT|Atlas Blue
BM|BMR|GB|BMI Regional
0B|BMS|RO|Blue Air
JA|BON|NT|B&H Airlines
EC|BOS|FR|Open Skies
BP|BOT|BW|Air Botswana
OB|BOV|BO|Boliviana de Aviacion - BoA - Boliviana de Aviacion
BV|BPA|IT|Blue Panorama Airlines
V9|BPS|NT|Citywing
5Q|BQB|NT|BQB Lineas Aereas
8E|BRG|US|Bering Air
YB|BRJ|TR|Borajet
UZ|BRQ|LY|Buraq Air
B2|BRU|BY|Belavia
TF|BRX|SE|BRA
LL|BSK|US|Miami Air International
T1|BST|NT|BestAir
BT|BTI|LV|Air Baltic
ID|BTK|ID|Batik Air
7P|BTV|ID|Batavia Air
