iata|icao|iso_country|city|tz|utc|alt|name|full_name|lat|lon
AAA|NTGA|PF|Anaa|Pacific/Tahiti|-10|10|Anaa|Anaa (AAA), French Polynesia|-17.352606|-145.509956
AAE|DABB|DZ|Annaba|Africa/Algiers|1|16|Annaba|Annaba (AAE), Algeria|36.822225|7.809167
AAL|EKYT|DK|Aalborg|Europe/Copenhagen|1|10|Aalborg|Aalborg (AAL), Denmark|57.092789|9.849164
AAN|OMAL|AE|Al Ain|Asia/Dubai|4|869|Al Ain International Airport|Al Ain Internationa. (AAN), United Arab Emirates|24.261667|55.609167
AAQ|URKA|RU|Anapa|Europe/Moscow|3|174|Vityazevo|Anapa-Vityazevo (AAQ), Russia|45.002097|37.347272
AAR|EKAH|DK|Aarhus|Europe/Copenhagen|1|82|Aarhus|Aarhus (AAR), Denmark|56.300017|10.619008
AAT|ZWAT|CN|Altay|Asia/Chongqing|8|2491|Altay Airport|Altay Airport (AAT), China|47.866667|88.116667
AAX|SBAX|BR|Araxa|America/Sao_Paulo|-3|3276|Araxa Airport|Araxa Airport (AAX), Brazil|-19.563056|-46.960278
ABA|UNAA|RU|Abakan|Asia/Krasnoyarsk|7|831|Abakan|Abakan (ABA), Russia|53.74|91.385
ABD|OIAA|IR|Abadan|Asia/Tehran|3.5|19|Abadan|Abadan (ABD), Iran|30.371111|48.228333
ABE|KABE|US|Allentown|America/New_York|-5|393|Lehigh Valley Intl|Allentown-Lehigh Valley In. (ABE), United States|40.652083|-75.440806
ABI|KABI|US|Abilene|America/Chicago|-6|1791|Abilene Rgnl|Abilene Rgnl (ABI), United States|32.411319|-99.681897
ABJ|DIAP|CI|Abidjan|Africa/Abidjan|0|21|Abidjan Felix Houphouet Boigny Intl|Abidjan Felix Houphouet Bo. (ABJ), Cote d'Ivoire|5.261386|-3.926294
ABL|PAFM|US|Ambler|America/Anchorage|-9|334|Ambler Airport|Ambler Airport (ABL), United States|67.106389|-157.8575
ABM|YBAM|AU|Amberley|Australia/Brisbane|10|34|Bamaga Injinoo|Amberley-Bamaga Injinoo (ABM), Australia|-10.950833|142.459444
ABQ|KABQ|US|Albuquerque|America/Denver|-7|5355|Albuquerque International Sunport|Albuquerque International. (ABQ), United States|35.0402222|-106.6091944
ABR|KABR|US|Aberdeen|America/Chicago|-6|1302|Aberdeen Regional Airport|Aberdeen Regional Airport (ABR), United States|45.4491|-98.4218
ABS|HEBL|EG|Abu Simbel|Africa/Cairo|2|616|Abu Simbel|Abu Simbel (ABS), Egypt|22.375953|31.611722
ABT|OEBA|SA|El-baha|Asia/Riyadh|3|5486|Al Baha|El-baha-Al Baha (ABT), Saudi Arabia|20.296139|41.634277
ABU|WATA|ID|Atambua|Asia/Makassar|8|1434|Haliwen Airport|Atambua-Haliwen Airport (ABU), Indonesia|-9.333333|124.9
ABV|DNAA|NG|Abuja|Africa/Lagos|1|1123|Nnamdi Azikiwe Intl|Abuja-Nnamdi Azikiwe Intl (ABV), Nigeria|9.006792|7.263172
ABX|YMAY|AU|Albury|Australia/Sydney|10|539|Albury|Albury (ABX), Australia|-36.067778|146.958056
ABY|KABY|US|Albany|America/New_York|-5|197|Southwest Georgia Regional Airport|Albany-Southwest Georgia R. (ABY), United States|31.5355|-84.1945
ABZ|EGPD|GB|Aberdeen|Europe/London|0|215|Dyce|Aberdeen-Dyce (ABZ), United Kingdom|57.201944|-2.197778
ACA|MMAA|MX|Acapulco|America/Mexico_City|-6|16|General Juan N Alvarez Intl|Acapulco-General Juan N Alvarez I. (ACA), Mexico|16.757061|-99.753953
ACC|DGAA|GH|Accra|Africa/Accra|0|205|Kotoka Intl|Accra-Kotoka Intl (ACC), Ghana|5.605186|-0.166786
ACE|GCRR|ES|Arrecife|Atlantic/Canary|0|47|Lanzarote|Arrecife-Lanzarote (ACE), Spain|28.945464|-13.605225
ACH|LSZR|CH|Altenrhein|Europe/Zurich|1|1306|St Gallen Altenrhein|Altenrhein-St Gallen Altenrh. (ACH), Switzerland|47.485033|9.560775
ACI|EGJA|GG|Alderney|Europe/Guernsey|0|290|Alderney|Alderney (ACI), Guernsey|49.706111|-2.214722
ACK|KACK|US|Nantucket|America/New_York|-5|48|Nantucket Mem|Nantucket Mem (ACK), United States|41.253053|-70.060181
ACT|KACT|US|Waco|America/Chicago|-6|516|Waco Rgnl|Waco Rgnl (ACT), United States|31.611289|-97.230519
ACV|KACV|US|Arcata CA|America/Los_Angeles|-8|221|Arcata|Arcata CA-Arcata (ACV), United States|40.978111|-124.108611
ACX|None|CN|Xingyi|Asia/Chongqing|8|500|Xingyi Airport|Xingyi Airport (ACX), China|25.0882|104.9587
ACY|KACY|US|Atlantic City|America/New_York|-5|75|Atlantic City Intl|Atlantic City Intl (ACY), United States|39.457583|-74.577167
ACZ|KACZ|US|Wallace|America/New_York|-5|38|Henderson Field|Wallace-Henderson Field (ACZ), United States|34.4307|-78.0023
ADA|LTAF|TR|Adana|Europe/Istanbul|2|65|Adana|Adana (ADA), Turkey|36.982166|35.280388
ADB|LTBJ|TR|Izmir|Europe/Istanbul|2|412|Adnan Menderes|Izmir-Adnan Menderes (ADB), Turkey|38.292392|27.156953
ADD|HAAB|ET|Addis Ababa|Africa/Addis_Ababa|3|7656|Bole Intl|Addis Ababa-Bole Intl (ADD), Ethiopia|8.977889|38.799319
ADE|OYAA|YE|Aden|Asia/Aden|3|7|Aden Intl|Aden Intl (ADE), Yemen|12.829542|45.028792
ADF|LTCP|TR|Adiyaman|Europe/Istanbul|2|2216|Adiyaman Airport|Adiyaman Airport (ADF), Turkey|37.7314|38.4689
ADH|UEEA|RU|Aldan|Asia/Yakutsk|9|2241|Aldan Airport|Aldan Airport (ADH), Russia|58.603056|125.407222
ADJ|OJAM|JO|Amman|Asia/Amman|2|2555|Marka Intl|Amman-Marka Intl (ADJ), Jordan|31.972703|35.991569
ADK|PADK|US|Adak Island|America/Anchorage|-9|18|Adak Airport|Adak Island-Adak Airport (ADK), United States|51.878|-176.646
