operating_airline|flight_number|departure_airport_code|arrival_airport_code|day_of_week|stop_airport_code|arrival_time|departure_time|elapsed_time|stop_duration|stop_timezone
0Q|150|YBG|YNS|2|YMT|08:05:00|08:30:00|47|25|-5.0
0Q|150|YMT|YNS|2|YUY|09:23:00|10:00:00|53|37|-5.0
0Q|150|YUL|YNS|2|YMT|08:05:00|08:30:00|115|25|-5.0
0Q|151|YGL|YBG|2|YNS|14:17:00|14:35:00|50|18|-5.0
0Q|151|YGL|YMT|2|YUY|15:39:00|16:05:00|132|26|-5.0
0Q|164|YUL|YBG|4|YUY|07:06:00|07:35:00|56|29|-5.0
0Q|165|YMT|YUY|4|YBG|16:09:00|16:35:00|56|26|-5.0
0Q|180|YUL|YMT|3|YUY|08:25:00|08:55:00|55|30|-5.0
0Q|310|YUL|YBC|1|YQB|07:39:00|08:15:00|29|36|-5.0
0Q|330|YUL|YBC|3|YQB|07:53:00|08:20:00|43|27|-5.0
0Q|331|YGV|YQB|3|YBC|14:31:00|14:55:00|89|24|-5.0
0Q|353|YGV|YUL|5|YBC|12:32:00|11:58:00|52|-34|-5.0
1I|112|BOS|HPN|1|TEB|18:18:00|07:46:00|50|808|-5
1I|200|IAH|TTN|1|ICT|13:30:00|13:06:00|84|1416|-6
1I|200|IAH|TTN|1|TTN|16:24:00|14:46:00|138|-98|-5
1I|206|TRM|SJC|5|SNA|15:14:00|17:03:00|21|109|-8
1I|251|TEB|MDW|1|SGR|15:12:00|15:46:00|207|34|-6
1I|255|PBI|HPN|5|HVN|12:28:00|13:36:00|131|68|-5
1I|280|SWF|APF|6|EYW|12:18:00|14:30:00|180|132|-5
1I|311|PWK|KRY|2|PDK|16:06:00|17:36:00|90|1530|-5
1I|342|MMU|HPN|3|SYR|11:24:00|11:36:00|36|12|-5
1I|371|BHM|VRB|3|SUA|18:48:00|20:32:00|72|104|-5
1I|383|ROC|MSP|2|HPN|07:42:00|13:36:00|36|354|-5
1I|384|ORD|PLN|1|DTW|10:53:00|14:08:00|44|195|-5
1I|573|PNE|MIA|5|HPN|19:09:00|19:43:00|18|34|-5
1I|588|OAK|BFI|1|MSO|14:23:00|16:06:00|110|103|-7
1I|594|CLD|SGR|1|PHX|16:03:00|08:06:00|34|963|-7
1I|601|ORL|TEB|2|MCO|11:18:00|14:10:00|12|3052|-5
1I|608|TTN|RDU|1|MMU|15:30:00|17:52:00|12|142|-5
1I|609|MRY|HOU|1|KGE|14:24:00|17:21:00|78|177|11
1I|625|PHL|FLL|5|GIF|21:54:00|17:27:00|162|1173|-5
1I|635|TEB|FCM|4|HPN|13:32:00|14:51:00|12|79|-5
1I|643|SFO|STL|2|LAX|19:05:00|16:10:00|71|1265|-8
1I|651|APF|GKY|1|BHM|16:21:00|08:06:00|97|945|-6
1I|651|APF|LUK|1|BHM|16:21:00|08:06:00|97|945|-6
1I|651|APF|LUK|1|GKY|09:48:00|06:36:00|102|2688|-6
1I|651|BOS|ELM|5|TEB|16:39:00|17:52:00|36|73|-5
1I|651|ELM|MLU|7|SYR|08:02:00|08:36:00|22|34|-5
1I|651|LUK|FXE|4|LEX|10:10:00|10:51:00|18|41|-5
1I|651|LUK|OAJ|4|FXE|12:45:00|11:36:00|114|-69|-5
1I|651|LUK|OAJ|4|LEX|10:10:00|10:51:00|18|41|-5
1I|662|ISM|MKC|1|CAE|13:51:00|15:06:00|60|75|-5
1I|689|BDL|CAE|1|CHS|18:59:00|10:31:00|146|932|-5
1I|689|LAN|CLE|2|CMH|16:43:00|11:06:00|52|3983|-5
1I|689|LAN|CLE|2|UGN|11:00:00|08:36:00|54|2736|-6
1I|689|LAN|UGN|2|CMH|16:43:00|11:06:00|52|3983|-5
1I|691|TTN|MOB|4|IAD|18:51:00|20:06:00|30|75|-5
1I|696|DAL|OMA|1|OKC|16:12:00|17:36:00|36|84|-6
1I|738|SEA|PHX|1|VNY|15:28:00|14:30:00|126|2822|-8
1I|783|PBI|PWK|3|MIA|18:00:00|19:21:00|12|81|-5
1I|808|MMU|BKW|4|TEB|12:03:00|10:42:00|11|1359|-5
1I|808|MMU|MVY|3|IAD|07:48:00|08:40:00|42|52|-5
1I|819|FLL|PBI|2|EYW|08:36:00|10:09:00|30|93|-5
1I|834|NEW|ELD|2|AEX|12:11:00|12:54:00|46|43|-6
1I|841|AZA|SBA|4|LAS|06:54:00|14:52:00|54|478|-8
1I|841|AZA|STL|3|LAS|10:30:00|12:42:00|54|132|-8
1I|867|RDU|INT|1|MMU|08:36:00|09:57:00|60|81|-5
1I|884|HPN|RDU|5|TEB|09:48:00|11:56:00|12|128|-5
1I|905|CMH|FXE|4|LEX|09:15:00|10:51:00|31|96|-5
1I|920|SLC|CLD|4|RIL|17:08:00|17:27:00|45|1459|-7
1I|953|SGR|KRY|2|MSY|08:18:00|13:19:00|42|301|-6
1I|960|TEB|LAS|3|IAD|15:21:00|17:06:00|30|105|-5
1I|960|TEB|MSP|3|IAD|15:21:00|17:06:00|30|105|-5
1I|960|TEB|MSP|3|LAS|18:18:00|10:20:00|252|962|-8
1I|996|SJC|SAV|5|RDU|20:18:00|21:28:00|248|70|-5
1I|997|LAX|AZA|1|KGE|09:18:00|10:07:00|51|49|11
2G|7755|IKT|CEK|1|OVB|08:30:00|09:40:00|135|70|6.0
2G|7755|IKT|CEK|5|OVB|08:30:00|09:40:00|135|70|6.0
2G|7755|IKT|KZN|1|CEK|10:45:00|11:45:00|330|60|5.0
2G|7755|IKT|KZN|5|CEK|10:45:00|11:45:00|330|60|5.0
